Rank,Author,Score,Students
1022,"Simon  Anderson Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",1103.04,5
1023,"Friedrich  Breyer Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",1103.05,2.5
1024,"Oldrich  Dedek Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1103.51,1
1025,"Charles Raymond Plott Division of Social Sciences, California Institute of Technology, Pasadena, California (USA)",1103.98,1
1026,"Anders  Vredin Sveriges Riksbank, Stockholm, Sweden",1104.18,1
1027,"Francine  Blau Department of Economics, Cornell University, Ithaca, New York (USA)",1104.92,2
1027,Don J. DeVoretz †,1104.92,1
1029,"Michael  Brandt Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1105.33,1
1030,"Werner  Ploberger Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",1105.72,1
1031,"Jean-Marc  Bonnisseau Paris School of Economics, Paris, FranceCentre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, France",1108.83,6.5
1032,"Shmuel  Zamir Center for the Study of Rationality, Hebrew University of Jerusalem, Jerusalem, Israel",1110.2,0.5
1033,Chris  Shannon,1110.33,0.5
1034,"Peter  Gottschalk Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",1111.4,9.5
1035,Douglass C. North †,1115.03,1.5
1036,Bart  van Ark,1116.71,0.5
1037,"David K. H. Begg Business School, Imperial College, London, United Kingdom",1117.19,0.5
1038,"Jamal  Bouoiyour Centre D'Analyse Théorique et de Traitement des données économiques (CATT), Faculté de Droit d'Économie et de Gestion, Université de Pau et des Pays de l'Adour, Pau, France",1120.49,4.5
1039,"John M. Maheu DeGroote School of Business, McMaster University, Hamilton, Canada",1121.22,8
1039,"Rodney D. Ludema Economics Department, Georgetown University, Washington, District of Columbia (USA)",1121.22,1
1041,"Steinar  Holden Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",1122.1,1.5
1042,"Myrna  Wooders Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",1123.13,2.5
1043,"Lucian Liviu Albu Institutul de Prognoza Economica, Institutul National de Cercetari Economice (INCE), Academia Romana, Bucureşti, Romania",1123.26,10
1044,"Thomas Warren Hertel Center for Global Trade Analysis (GTAP), Department of Agricultural Economics, Purdue University, West Lafayette, Indiana (USA)",1125.27,4.5
1045,"Peter  Rousseau Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",1125.75,3
1046,"Donald  Cox Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",1125.92,6
1047,"Michele  Fratianni Dipartimento di Scienze Economiche e Sociali, Facoltà di Economia ""Giorgio Fuà"", Università Politecnica delle Marche, Ancona, ItalyMoney and Finance Research group (Mo.Fi.R.), Ancona, Italy",1126.3,2.5
1047,"David N. DeJong Department of Economics, University of Pittsburgh, Pittsburgh, Pennsylvania (USA)",1126.3,6
1049,"Stephan  Klasen CRC ""Armut, Ungleichheit und Wachstum in Entwicklungsländern"", Georg-August-Universität Göttingen, Göttingen, Germany",1126.59,7.5
1050,"Geoffrey J. D. Hewings Regional Economics Applications Laboratory (REAL), University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",1127.52,3.5
1051,"Eckhard  Hein Fachbereich Wirtschaftswissenschaften, Hochschule für Wirtschaft und Recht, Berlin, Germany",1127.69,4
1052,"Dora L. Costa Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",1131.54,2.5
1053,"Andres  Rodriguez-Clare National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",1131.65,2.5
1054,Edward Nathan Wolff,1132.98,2
1055,"Jorg  Breitung Institut für Ökonometrie und OR, Rheinische Friedrich-Wilhelms-Universität Bonn, Bonn, Germany",1134.53,1
1056,"Jesus  Fernandez-Villaverde Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1134.92,1
1057,"Alfonso  Novales Instituto Complutense de Analisis Economico (ICAE), Facultad de Ciencias Económicas y Empresariales, Universidad Complutense de Madrid, Madrid, Spain",1139.94,1
1058,"Sjak  Smulders https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",1140.9,2
1059,David  Backus †,1141.51,0.5
1060,"Edgar L Feige Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1141.77,1
1061,"Matthew O. Jackson Department of Economics, Stanford University, Stanford, California (USA)",1142.51,3.5
1062,"Martin C. McGuire Department of Economics, University of California-Irvine, Irvine, California (USA)Department of Economics, University of Maryland, College Park, Maryland (USA)",1144.02,1
1063,"Yixiao  Sun Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",1145.01,3
1064,"Raymond G. Riezman Institut for Økonomi, Aarhus Universitet, Aarhus, Denmark",1145.24,1.5
1065,"Martin  Floden Sveriges Riksbank, Stockholm, Sweden",1145.25,2.5
1066,"John Harvey McDermott Economics Department, Darla Moore School of Business, University of South Carolina, Columbia, South Carolina (USA)",1146.14,1
1067,"Petra Maria Geraats Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",1146.42,1.5
1068,"Anil Kumar Bera Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",1146.48,6
1069,"Wayne  Ferson Finance Department, Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts (USA)",1150.58,1
1070,"Paul Leonard Stoneman Warwick Business School, University of Warwick, Coventry, United Kingdom",1150.83,2
1071,"Al  Slivinski Department of Economics, University of Western Ontario, London, Canada",1151.76,4
1072,"David  Perez-Castrillo Unitat de Fonaments de l'Anàlisi Econòmica, Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1151.83,6
1073,"Kenneth  Burdett Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1152.89,2
1074,"Maureen L. Cropper Department of Economics, University of Maryland, College Park, Maryland (USA)Resources for the Future (RFF), Washington, District of Columbia (USA)",1153.93,1
1075,"Fatih  Guvenen Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",1155,2.5
1076,"Mark  Machina Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",1157.41,1
1077,"Gareth David Leeves School of Business, Monash University, Sunway, Malaysia",1157.52,2
1078,Scott John Freeman †,1157.63,2
1079,"Gordon  Hanson Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",1158.95,1.5
1080,"Luigi  Pistaferri Department of Economics, Stanford University, Stanford, California (USA)",1159.32,1.5
1081,"Patrick A. Messerlin Groupe d'économie mondiale (GEM), Sciences économiques, Sciences Po, Paris, France",1162.58,3
1082,"L. Alan Winters Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",1162.98,4
1083,"Uschi  Backes-Gellner Institut für Betriebswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",1163.75,8
1084,"Dennis  Heffley Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",1163.83,9
1085,"John  Gibson Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand",1165.68,5.5
1086,"Daniel J. Henderson Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-Tuscaloosa, Tuscaloosa, Alabama (USA)",1166.96,2.5
1087,"Pierre  Chiappori Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1167.19,1.5
1088,"Roberto  Perotti Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",1167.26,0.5
1089,"Carl  Walsh Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)",1167.3,5
1090,Gregory L. Poe †,1167.34,1
1091,"David A. Green Vancouver School of Economics, University of British Columbia, Vancouver, Canada",1167.39,2
1092,"Jose Luis Zofio Departamento de Análisis Económico: Teoría Económica e Historia Económica, Facultad de Ciencias Económicas y Empresariales, Universidad Autónoma de Madrid, Madrid, Spain",1167.56,4
1093,"Matthew  Shum Division of Social Sciences, California Institute of Technology, Pasadena, California (USA)",1167.65,7
1094,John M. Quigley †,1168.09,1
1095,"John  Hunter Department of Economics and Finance, Brunel University, Uxbridge, United Kingdom",1170.28,2.5
1096,Louis  Phaneuf,1171.91,2
1097,"Jean-Pierre  Allegret Groupe de REcherche en Droit, Économie, Gestion (GREDEG), Institut Supérieur d'Économie et Management (ISEM), Université de Nice-Sophia Antipolis, Nice, FranceInstitut Supérieur d'Économie et Management (ISEM), Université de Nice-Sophia Antipolis, Nice, France",1173.15,2
1098,"Sydney C. Ludvigson Department of Economics, New York University (NYU), New York City, New York (USA)",1174.08,2.5
1099,"Giovanni  Gallipoli Vancouver School of Economics, University of British Columbia, Vancouver, Canada",1174.57,5
1100,"David  Romer Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",1175.41,2.5
1101,"Hans  Gersbach CER-ETH Center of Economic Research, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, SwitzerlandInstitute of Labor Economics (IZA), Bonn, Germany",1176.42,2
1102,"Patrick  Rey Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",1179.38,4
1103,Jonathan  Temple,1179.45,5
1104,"Hakan J Holm Nationalekonomiska Institutionen, Ekonomihögskolan, Lunds Universitet, Lund, Sweden",1179.84,1
1105,"Jonathan A. Parker Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1180.1,0.5
1106,"William H. Kaempfer Carl McGuire Center for International Studies, Department of Economics, University of Colorado, Boulder, Colorado (USA)",1180.46,1
1107,"Barry  Sopher Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",1185.49,1.5
1108,"Jeffrey C. Ely Department of Economics, Northwestern University, Evanston, Illinois (USA)",1185.58,2.5
1109,"Danny  Cassimon Instituut voor Ontwikkelingsbeleid en -beheer (IOB), Universiteit Antwerpen, Antwerpen, Belgium",1185.75,6
1110,"Stephen  Machin Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",1189.91,2
1111,"Dirk  Czarnitzki Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, BelgiumOnderzoekseenheid Bedrijfseconomie, Strategie en Innovatie, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",1190.66,3
1112,"Valentina  Corradi School of Economics, University of Surrey, Guildford, United Kingdom",1192.01,0.5
1113,Thomas  Lindh †,1192.17,1
1114,"Miguel  Molico Bank of Canada, Ottawa, Canada",1192.55,1
1115,"Javier  Ruiz-Castillo Departamento de Economía, Universidad Carlos III de Madrid, Madrid, Spain",1193.8,1.5
1116,"Daniel L. Millimet Department of Economics, Southern Methodist University, Dallas, Texas (USA)",1194.45,2
1117,"Nancy Lin Rose Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1195.89,0.5
1118,"Vassilis Argyrou Hajivassiliou Economics Department, London School of Economics (LSE), London, United KingdomFinancial Markets Group (FMG), London School of Economics (LSE), London, United Kingdom",1197.22,3
1119,"Riccardo (Jack)  Lucchetti Dipartimento di Scienze Economiche e Sociali, Facoltà di Economia ""Giorgio Fuà"", Università Politecnica delle Marche, Ancona, Italy",1200.75,4
1120,"Regina Therese Riphahn Wirtschafts- und Sozialwissenschaftliche Fakultät, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen-Nürnberg, Germany",1203.05,1
1121,"Audra J. Bowlus Department of Economics, University of Western Ontario, London, Canada",1203.83,4
1122,"Stefan  Homburg Wirtschaftswissenschaftliche Fakultät, Leibniz Universität Hannover, Hannover, Germany",1204.08,4
1123,"Luigi  Zingales Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1204.6,0.5
1124,"Per  Stromberg Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1208.38,0.5
1125,"Jean-Paul  Azam Atelier de Recherche Quantitative Appliquée au Développement Économique (ARQADE), Toulouse School of Economics (TSE), Toulouse, France",1208.44,2
1126,"Murray C. Kemp School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",1210.99,1
1127,"D.S. Prasada  Rao School of Economics, University of Queensland, Brisbane, AustraliaCentre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland, Brisbane, Australia",1211.67,2
1128,"Christopher R. Knittel Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1213.96,2
1129,"Martin  Gaynor H. John Heinz III School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",1214.28,4
1130,Gary  Chamberlain †,1214.4,0.5
1131,"Hugo  Rodriguez Mendizabal Institut d'Anàlisi Econòmica CSIC (IAE-CSIC), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1214.64,5
1132,"Arpad J. Abraham Department of Economics, Duke University, Durham, North Carolina (USA)",1215.5,1.5
1133,"Imran  Rasul Department of Economics, University College London (UCL), London, United Kingdom",1217.28,5
1134,"Don Edward Schlagenhauf Center for Household Financial Stability, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",1217.59,2
1135,"Andrew R. Tremayne Management School, University of Liverpool, Liverpool, United Kingdom",1217.85,1
