Rank,Author,Score,Author_clean
947,"Eduardo Levy Yeyati Escuela de Gobierno, Universidad Torcuato Di Tella, Buenos Aires, Argentina",2427,Eduardo Levy
950,"Jesus Fernandez-Villaverde Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",2426,Jesus Fernandez-Villaverde
951,"Frédéric Docquier Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD), Esch-sur-Alzette, Luxembourg",2424,Frédéric Docquier
951,"Lawrence Edward Blume Department of Economics, Cornell University, Ithaca, New York (USA)",2424,Lawrence Edward
953,"Michele Boldrin Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",2423,Michele Boldrin Department
954,"Charles Wyplosz International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",2419,Charles Wyplosz
955,"Casey B. Mulligan Department of Economics, University of Chicago, Chicago, Illinois (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2416,Casey B. Mulligan
955,"Lee Edward Ohanian Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2416,Lee Edward
957,"Eric Zivot Department of Economics, University of Washington, Seattle, Washington (USA)",2414,Eric Zivot
957,"Robert Gibbons Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2414,Robert Gibbons
959,David Alan Aschauer †,2412,David Alan
959,"Jonas D.M. Fisher Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",2412,Jonas D.M. Fisher
961,"Bruce A. Blonigen Department of Economics, University of Oregon, Eugene, Oregon (USA)",2411,Bruce A. Blonigen
962,"Yoram Weiss Foerder Institute for Economic Research, Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",2410,Yoram Weiss
963,"Jesse M. Shapiro Economics Department, Brown University, Providence, Rhode Island (USA)",2409,Jesse M. Shapiro
964,"Roger E. A. Farmer Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)Department of Economics, University of Warwick, Coventry, United Kingdom",2408,Roger E. A.
965,"Jeroen C.J.M. van den Bergh Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",2404,Jeroen C.J.M. van
965,"Simon Anderson Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",2404,Simon Anderson
967,"Gilles Saint-Paul Paris School of Economics, Paris, France",2400,Gilles Saint-Paul
968,"Klaus E. Meyer Ivey School of Business, University of Western Ontario, London, Canada",2399,Klaus E. Meyer
969,Carl Chiarella †,2396,Carl Chiarella
969,"Zvi Hercowitz Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",2396,Zvi Hercowitz
971,"Charles Noussair Economics Department, Eller College of Management, University of Arizona, Tucson, Arizona (USA)",2393,Charles Noussair
972,"Kevin Lang Department of Economics, Boston University, Boston, Massachusetts (USA)",2389,Kevin Lang
972,"Michael R. Carter Department of Agricultural and Resource Economics, University of California-Davis, Davis, California (USA)",2389,Michael R. Carter
974,"Robert William Faff Business School, University of Queensland, Brisbane, Australia",2388,Robert William
975,"Jesper Linde Sveriges Riksbank, Stockholm, Sweden",2387,Jesper Linde
975,"Georg Kirchsteiger European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",2387,Georg Kirchsteiger
977,Alan C. Stockman †,2385,Alan C. Stockman
977,"Alain Monfort Centre de Recherche en Économie et Statistique (CREST), Palaiseau, France",2385,Alain Monfort
979,"Maria Soledad Martinez Peria Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",2383,Maria Soledad
980,"Jan-Egbert Sturm KOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",2382,Jan-Egbert Sturm
981,"Joe Peek Economic Research, Federal Reserve Bank of Boston, Boston, Massachusetts (USA)",2380,Joe Peek
982,"Michael Lechner School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",2378,Michael Lechner School
982,"Susan K. Laury Experimental Economics Center, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",2378,Susan K. Laury
984,"Thomas S. Jayne Department of Agricultural, Food and Resource Economics, College of Agriculture and Natural Resources, Michigan State University, East Lansing, Michigan (USA)",2377,Thomas S. Jayne
985,"James R. Barth Department of Finance, College of Business, Auburn University, Auburn, Alabama (USA)",2374,James R. Barth
986,"Allan Drazen Department of Economics, University of Maryland, College Park, Maryland (USA)",2372,Allan Drazen
987,"Nicole M. Fortin Vancouver School of Economics, University of British Columbia, Vancouver, Canada",2369,Nicole M. Fortin
988,"Tommaso Monacelli Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",2367,Tommaso Monacelli
989,"Douglas Michael Laxton School of Business and Economics, Universidade Nova de Lisboa, Lisboa, Portugal",2364,Douglas Michael
990,"James Alm Department of Economics, Tulane University, New Orleans, Louisiana (USA)",2355,James Alm
991,"Jean Gabszewicz Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",2353,Jean Gabszewicz
991,"Willem Hendrik Buiter School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)Maurice R. Greenberg Center for Geoeconomic Studies, Council on Foreign Relations, Washington, District of Columbia (USA)",2353,Willem Hendrik Buiter
993,Pentti Saikkonen,2349,Pentti Saikkonen
994,Michael Louis Mussa †,2347,Michael Louis
995,"Jonathan E. Haskel Business School, Imperial College, London, United Kingdom",2346,Jonathan E. Haskel
996,"Jose-Luis Peydro Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",2345,Jose-Luis Peydro
997,"Luigi Pistaferri Department of Economics, Stanford University, Stanford, California (USA)",2343,Luigi Pistaferri
998,"Michael Gerald Pollitt Energy Policy Research Group, Judge Business School, University of Cambridge, Cambridge, United Kingdom",2342,Michael Gerald
998,"Fredrik Carlsson Nationalekonomiska institutionen, Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden",2342,Fredrik Carlsson
1000,"Marc Hallin European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",2341,Marc Hallin
1001,"Kym Anderson School of Economics, University of Adelaide, Adelaide, Australia",2340,Kym Anderson
1002,"John Graham Riley Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2338,John Graham
1003,"Karen Palmer Resources for the Future (RFF), Washington, District of Columbia (USA)",2337,Karen Palmer
1003,"Magnus Henrekson Institutet för Näringslivsforskning (IFN), Stockholm, Sweden",2337,Magnus Henrekson
1005,"Patrick Rey Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",2336,Patrick Rey
1005,"Ngo Van Long Department of Economics, McGill University, Montréal, Canada",2336,Ngo Van
1007,Chaim Fershtman,2332,Chaim Fershtman
1007,"Shlomo Yitzhaki National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",2332,Shlomo Yitzhaki
1009,"Jun Pan Shanghai Advanced Institute of Finance (SAIF), Shanghai Jiao Tong University, Shanghai, China",2331,Jun Pan
1010,"Michael Peter Clements ICMA Centre for Financial Markets, Henley Business School, University of Reading, Reading, United Kingdom",2330,Michael Peter
1011,"David Canning Department of Global Health and Population, Harvard T. H. Chan School of Public Health, Harvard University, Cambridge, Massachusetts (USA)",2329,David Canning Department
1012,"Timothy Cason Department of Economics, Krannert School of Management, Purdue University, West Lafayette, Indiana (USA)",2327,Timothy Cason
1013,"Dan Kovenock Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)",2324,Dan Kovenock
1014,"Josef Zweimuller Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",2323,Josef Zweimuller
1015,"Tito Boeri Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, ItalyFondazione Rodolfo DEBENEDETTI (fRDB), Milano, Italy",2322,Tito Boeri
1015,"Henry G. Overman Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",2322,Henry G. Overman
1017,"Sushil Bikhchandani Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2321,Sushil Bikhchandani
1017,"Boqiang Lin China Institute for Studies in Energy Policy, Xiamen University, Fujian, China",2321,Boqiang Lin
1019,"Kaushik Basu Department of Economics, Cornell University, Ithaca, New York (USA)",2319,Kaushik Basu
1020,"Kiminori Matsuyama Department of Economics, Northwestern University, Evanston, Illinois (USA)",2313,Kiminori Matsuyama
1021,"John Strauss Department of Economics, University of Southern California, Los Angeles, California (USA)",2312,John Strauss
1022,"V. Joseph Hotz Department of Economics, Duke University, Durham, North Carolina (USA)",2309,V. Joseph Hotz
1022,"Casper G. de Vries Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",2309,Casper G. de
1024,"Thomas Fox Rutherford Department of Agricultural & Applied Economics, University of Wisconsin-Madison, Madison, Wisconsin (USA)",2308,Thomas Fox
1024,"Jikun Huang China Center for Agricultural Policy (CCAP), Peking University, Beijing, China",2308,Jikun Huang
1026,"Brian R. Copeland Vancouver School of Economics, University of British Columbia, Vancouver, Canada",2306,Brian R. Copeland
1027,"David Dorn Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",2301,David Dorn
1028,"Koen Frenken Copernicus Institute for Sustainable Development and Innovation, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht, Utrecht, Netherlands",2298,Koen Frenken
1028,"Joseph P. Newhouse National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2298,Joseph P. Newhouse
1030,"Christopher Mayer Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",2296,Christopher Mayer
1030,"Herve Moulin Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",2296,Herve Moulin
1032,"Giuseppe Nicoletti Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris, France",2292,Giuseppe Nicoletti
1033,"Andres Rodriguez-Pose Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",2291,Andres Rodriguez-Pose
1033,"Lionel Fontagne Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, France",2291,Lionel Fontagne
1035,"Stefan Gerlach Central Bank of Ireland, Dublin, Ireland",2290,Stefan Gerlach
1036,"Roel Maria Wilhelmus Jozef Beetsma Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",2287,Roel Maria
1037,Hans Peter Binswanger-Mkhize †,2286,Hans Peter
1038,"Peter N. Ireland Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",2281,Peter N. Ireland
1038,"George-Marios Angeletos Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2281,George-Marios Angeletos
1040,"Anke Hoeffler Centre for the Study of African Economies (CSAE), Department of Economics, Oxford University, Oxford, United Kingdom",2276,Anke Hoeffler
1041,"L. Alan Winters Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",2275,L. Alan Winters
1042,"Jesus Saurina Banco de España, Madrid, Spain",2274,Jesus Saurina
1043,Robert P. Flood,2271,Robert P. Flood
1043,"Paul William Glewwe Department of Applied Economics, College of Agricultural, Food, and Environmental Sciences, University of Minnesota-St. Paul, St. Paul, Minnesota (USA)",2271,Paul William Glewwe
1045,"Daniel Sichel Department of Economics, Wellesley College, Wellesley, Massachusetts (USA)",2269,Daniel Sichel
1046,"Jay Shanken National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Goizueta Business School, Emory University, Atlanta, Georgia (USA)",2268,Jay Shanken
1047,Patricia Lyon Mokhtarian,2267,Patricia Lyon
1048,"Erzo F.P. Luttmer Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",2261,Erzo F.P. Luttmer
1048,Mohsin Khan,2261,Mohsin Khan
1050,"Will J Martin International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",2260,Will J
1050,"Andrew Michael Jones Department of Economics and Related Studies, University of York, York, United Kingdom",2260,Andrew Michael
1052,"Richard K. Lyons Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",2259,Richard K. Lyons
1053,"John Loomis Department of Agricultural & Resource Economics, Colorado State University, Fort Collins, Colorado (USA)",2257,John Loomis
1053,Peter M. Garber,2257,Peter M. Garber
